episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
170,hard,255.41,51,1,-5,0,0.02,3.45,441.45,1.62,8,34,64.71
171,hard,218.25,63,1,5,0,0.02,3.71,440.64,1.62,11,29,58.73
172,hard,264.92,63,1,-25,0,0.02,4.34,437.49,1.61,6,34,61.9
173,hard,417.01,58,2,35,0,0.02,3.56,436.39,1.61,9,33,72.41
174,hard,558.79,135,2,30,0,0.02,10.2,439.46,1.62,16,62,54.81
175,hard,439.89,56,2,30,0,0.02,4.21,438.83,1.62,1,32,69.64
176,hard,473.25,108,2,25,0,0.02,6.99,441.67,1.63,19,38,60.19
177,hard,501.39,135,2,40,0,0.02,8.83,443.25,1.64,28,45,59.26
178,hard,505.82,145,2,45,0,0.02,9.53,443.58,1.64,26,42,59.31
179,hard,435.09,238,1,-25,0,0.02,15.11,444.91,1.64,74,63,45.38
180,hard,576.5,161,2,10,0,0.02,9.95,445.18,1.64,31,66,54.66
181,hard,466.35,132,2,45,0,0.02,9.27,446.77,1.65,19,42,55.3
182,hard,368.47,116,1,-10,0,0.02,8.74,448.02,1.65,10,54,56.03
183,hard,481.78,91,2,40,0,0.02,6.87,447.57,1.65,16,46,67.03
184,hard,621.11,221,2,25,0,0.02,16.95,447.1,1.64,39,62,55.66
185,hard,181.35,44,1,15,0,0.02,2.68,441.54,1.62,8,20,63.64
186,hard,371.05,59,2,5,0,0.02,4.0,440.2,1.62,6,29,62.71
187,hard,472.52,109,2,5,0,0.02,7.01,441.23,1.63,10,45,55.05
188,hard,229.6,52,1,-5,0,0.02,3.56,438.3,1.62,6,25,59.62
189,hard,461.47,120,2,30,0,0.02,10.08,438.56,1.63,14,42,54.17
190,hard,474.23,98,2,30,0,0.02,6.58,440.54,1.64,20,43,70.41
191,hard,469.97,105,2,25,0,0.02,7.8,442.19,1.65,29,43,68.57
192,hard,398.3,70,2,10,0,0.02,4.72,443.17,1.66,15,34,67.14
