episode,level,total_reward,steps_taken,treasures_collected,final_score,lives_remaining,epsilon,duration_sec,avg_reward_100,avg_treasures_100,walls_hit,explored_cells,hint_accuracy
207,medium,1052.65,78,5,275,4,0.03,2.12,952.26,4.66,4,51,80.77
208,medium,888.05,87,5,135,0,0.03,2.1,950.3,4.66,4,51,72.41
209,medium,888.63,86,5,155,0,0.03,2.1,949.06,4.66,17,46,75.58
210,medium,1019.09,82,5,245,3,0.03,1.86,950.02,4.66,6,43,78.05
211,medium,991.78,98,5,265,2,0.03,2.16,954.34,4.68,12,56,68.37
212,medium,511.7,45,3,85,0,0.03,1.03,948.98,4.66,1,26,68.89
213,medium,1069.11,99,5,255,5,0.03,2.52,948.71,4.66,7,53,69.7
214,medium,993.97,84,5,255,1,0.03,2.06,947.98,4.66,6,51,75.0
215,medium,1097.7,91,5,290,5,0.03,1.84,948.27,4.66,7,53,72.53
216,medium,1054.05,99,5,250,2,0.03,2.17,953.58,4.68,11,56,70.71
217,medium,1006.93,85,5,250,2,0.03,2.08,953.97,4.68,7,50,75.29
218,medium,988.8,78,5,265,3,0.03,2.04,959.17,4.7,8,42,76.92
219,medium,974.45,80,5,225,2,0.03,1.88,958.22,4.7,8,44,83.75
220,medium,1004.95,78,5,265,4,0.03,1.64,957.86,4.7,2,39,79.49
221,medium,1099.32,84,5,270,6,0.03,1.99,958.41,4.7,2,51,77.38
222,medium,511.21,39,3,90,0,0.03,0.89,958.57,4.7,1,24,76.92
223,medium,1060.66,82,5,245,5,0.03,2.13,964.04,4.72,2,50,76.83
224,medium,863.85,70,5,170,0,0.03,1.89,961.29,4.72,3,44,74.29
225,medium,1080.6,115,5,240,2,0.03,2.67,961.02,4.72,17,64,68.7
226,medium,1069.53,109,5,240,4,0.03,2.78,961.51,4.72,11,61,72.48
227,medium,1025.51,91,5,255,2,0.03,2.26,960.99,4.72,7,46,74.73
228,medium,1086.71,105,5,260,4,0.03,2.21,961.05,4.72,5,55,72.38
229,medium,718.1,99,4,65,0,0.03,2.25,957.27,4.71,14,42,58.59
230,medium,994.24,87,5,240,3,0.03,2.21,958.77,4.71,9,52,79.31
231,medium,1084.63,126,5,255,3,0.03,2.72,959.02,4.71,18,64,71.43
232,medium,1059.65,78,5,260,6,0.03,2.09,958.71,4.71,4,47,76.92
233,medium,1077.1,96,5,265,2,0.03,2.95,959.3,4.71,4,54,71.88
234,medium,1004.44,89,5,255,2,0.03,2.7,959.36,4.71,5,46,74.16
235,medium,462.63,32,3,95,0,0.03,0.92,953.71,4.69,2,19,78.12
236,medium,1035.28,83,5,230,1,0.03,1.76,953.85,4.69,3,49,77.11
237,medium,1030.57,95,5,230,2,0.03,2.18,953.25,4.69,7,52,70.53
238,medium,497.95,40,3,85,0,0.03,1.04,947.6,4.67,3,25,72.5
239,medium,1045.46,85,5,240,4,0.03,2.13,947.99,4.67,5,51,75.29
240,medium,1030.37,77,5,245,3,0.03,1.87,947.52,4.67,3,49,79.22
241,medium,1028.01,74,5,270,4,0.03,1.47,947.15,4.67,2,50,79.73
242,medium,1045.28,77,5,280,4,0.03,1.81,946.5,4.67,5,50,75.32
243,medium,1031.38,82,5,285,2,0.03,1.96,945.98,4.67,4,51,78.05
244,medium,1043.57,72,5,295,5,0.03,1.85,945.16,4.67,2,45,81.94
245,medium,1075.03,102,5,245,3,0.03,2.35,945.76,4.67,4,54,71.57
246,medium,1041.43,84,5,245,4,0.03,1.91,951.3,4.69,4,46,75.0
247,medium,991.64,74,5,255,2,0.03,1.83,950.95,4.69,4,42,81.08
248,medium,1101.36,92,5,270,6,0.03,2.38,952.82,4.69,2,52,73.91
249,medium,1023.28,87,5,250,3,0.03,2.02,953.67,4.69,5,45,73.56
250,medium,468.63,43,3,70,0,0.03,0.83,947.25,4.67,3,23,67.44
251,medium,1070.61,89,5,260,3,0.03,2.02,952.86,4.69,3,46,74.16
252,medium,1031.01,104,5,240,1,0.03,2.4,952.08,4.69,6,49,70.19
253,medium,482.87,51,3,85,0,0.03,1.24,945.74,4.67,3,24,58.82
254,medium,1068.45,105,5,245,3,0.03,2.5,952.87,4.7,9,56,71.43
255,medium,1019.53,95,5,245,3,0.03,2.07,955.8,4.71,5,50,71.58
256,medium,1050.44,142,5,215,1,0.03,3.4,955.58,4.71,16,63,64.08
257,medium,1035.58,75,5,240,4,0.03,1.94,955.29,4.71,1,46,81.33
258,medium,1061.26,94,5,260,4,0.03,2.49,956.78,4.71,6,50,75.53
259,medium,1027.86,86,5,230,2,0.03,1.9,956.58,4.71,2,48,75.58
260,medium,1060.92,82,5,255,5,0.03,1.82,955.77,4.71,2,45,76.83
261,medium,1043.03,73,5,290,5,0.03,1.61,955.84,4.71,3,44,82.19
262,medium,1046.95,92,5,250,4,0.03,2.32,960.9,4.73,6,45,72.83
263,medium,1035.67,109,5,260,3,0.03,3.43,960.35,4.73,15,54,76.15
264,medium,1025.94,83,5,265,1,0.03,2.85,960.11,4.73,1,54,77.11
265,medium,994.87,88,5,265,3,0.03,2.39,959.45,4.73,8,42,71.59
266,medium,1076.2,89,5,250,2,0.03,1.67,959.29,4.73,1,54,75.28
267,medium,1023.58,88,5,250,1,0.03,2.14,959.0,4.73,4,53,77.27
268,medium,527.3,51,3,50,0,0.03,1.26,958.88,4.73,2,34,76.47
269,medium,1096.04,96,5,255,4,0.03,2.36,959.11,4.73,2,55,72.92
270,medium,468.26,32,3,85,0,0.03,0.75,952.88,4.71,1,17,78.12
271,medium,1051.48,92,5,245,4,0.03,2.2,958.03,4.73,2,53,75.0
272,medium,1053.15,79,5,260,5,0.03,2.3,958.46,4.73,3,44,77.22
273,medium,1040.28,111,5,255,4,0.03,2.76,963.5,4.75,17,51,63.96
274,medium,1073.15,91,5,255,5,0.03,2.32,969.41,4.77,5,52,72.53
275,medium,1030.37,89,5,270,2,0.03,1.67,969.48,4.77,5,55,74.16
276,medium,1107.35,83,5,280,6,0.03,1.93,969.87,4.77,1,56,77.11
277,medium,1029.79,89,5,255,1,0.03,2.51,969.79,4.77,5,54,71.91
278,medium,1087.29,100,5,255,4,0.03,2.34,969.67,4.77,2,52,72.0
279,medium,1021.57,78,5,300,4,0.03,1.49,969.65,4.77,4,42,76.92
280,medium,1025.75,96,5,230,2,0.03,2.45,970.17,4.77,2,52,72.92
281,medium,1017.02,72,5,255,2,0.03,2.04,970.26,4.77,0,41,81.94
282,medium,1073.1,91,5,270,3,0.03,2.36,972.12,4.77,5,50,75.82
283,medium,1050.56,77,5,255,5,0.03,1.69,971.87,4.77,1,44,79.22
284,medium,1057.77,82,5,270,5,0.03,1.83,971.83,4.77,4,49,78.05
285,medium,1064.6,96,5,280,4,0.03,2.49,971.92,4.77,10,56,72.92
286,medium,484.99,42,3,85,0,0.03,1.2,966.93,4.75,3,25,73.81
287,medium,1015.45,78,5,255,1,0.03,2.21,966.66,4.75,2,48,79.49
288,medium,979.67,81,5,265,3,0.03,1.75,965.67,4.75,11,39,74.07
289,medium,1021.45,94,5,235,1,0.03,2.29,965.47,4.75,6,55,73.4
290,medium,1052.01,90,5,295,4,0.03,2.35,965.87,4.75,8,52,72.22
291,medium,1018.97,75,5,255,4,0.03,2.31,968.9,4.76,3,44,80.0
292,medium,1109.4,110,5,320,5,0.03,3.22,969.62,4.76,8,58,67.27
293,medium,1032.63,83,5,245,4,0.03,2.6,972.69,4.77,5,45,75.9
294,medium,1053.18,73,5,260,4,0.03,1.94,972.64,4.77,1,44,80.82
295,medium,1063.06,87,5,280,4,0.03,2.27,978.27,4.79,5,52,74.71
296,medium,995.54,71,5,265,4,0.03,1.66,977.27,4.79,5,42,80.28
297,medium,1061.14,97,5,255,2,0.03,2.03,977.21,4.79,5,52,71.13
298,medium,1060.52,86,5,270,4,0.03,2.09,977.91,4.79,4,47,75.58
299,medium,1061.54,114,5,245,3,0.03,2.93,978.3,4.79,24,58,78.07
300,medium,496.91,42,3,90,0,0.03,1.1,972.88,4.77,2,23,69.05
301,medium,452.54,41,3,70,0,0.03,0.89,966.76,4.75,6,26,73.17
302,medium,1002.28,79,5,255,3,0.03,1.84,972.42,4.77,7,41,78.48
303,medium,1024.7,80,5,245,3,0.03,1.87,971.93,4.77,4,42,80.0
304,medium,1078.32,107,5,260,3,0.03,2.74,974.12,4.77,9,54,70.09
305,medium,1052.38,88,5,270,6,0.03,1.82,974.7,4.77,6,45,78.41
306,medium,1058.47,98,5,240,2,0.03,2.24,974.34,4.77,6,51,72.45
307,medium,1062.19,84,5,260,4,0.03,2.05,974.44,4.77,4,45,77.38
308,medium,1001.45,95,5,215,1,0.03,2.46,975.57,4.77,11,46,69.47
309,medium,1057.92,88,5,245,3,0.03,1.94,977.26,4.77,6,52,75.0
310,medium,1081.23,91,5,290,5,0.03,1.78,977.88,4.77,7,46,73.63
311,medium,1068.05,113,5,245,3,0.03,2.85,978.65,4.77,5,54,69.03
312,medium,450.2,30,3,100,0,0.03,0.83,978.03,4.77,2,19,80.0
313,medium,1049.57,82,5,280,4,0.03,2.27,977.84,4.77,2,47,75.61
314,medium,1039.71,69,5,270,5,0.03,1.47,978.29,4.77,3,38,82.61
315,medium,1073.56,92,5,270,3,0.03,1.92,978.05,4.77,6,47,72.83
316,medium,542.93,61,3,70,0,0.03,1.72,972.94,4.75,7,33,72.13
317,medium,979.51,78,5,235,1,0.03,2.04,972.67,4.75,2,45,80.77
